as_of,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612
6/2/2000,83.1023,133.126,199.518,13.52,1453.45,35.4702,39.7976,27.7673,61.7523,43.1957,18.7512,53.6508
6/3/2000,83.1023,133.126,199.518,13.52,1453.45,35.4702,39.7976,27.7673,61.7523,43.1957,18.7512,53.6508
6/4/2000,83.1023,133.126,199.518,13.52,1453.45,35.4702,39.7976,27.7673,61.7523,43.1957,18.7512,53.6508
6/5/2000,83.797,133.126,198.634,13.38,1438.88,35.2341,39.7553,27.755,61.4531,42.9158,18.5355,53.1192
6/6/2000,82.0602,131.671,196.766,13.48,1438.88,35.0104,39.6707,27.4594,60.7694,42.6359,18.5571,52.9294
6/7/2000,83.5365,133.308,197.258,13.45,1438.88,35.3335,39.9669,27.4718,61.3819,43.0228,18.5679,53.0433
6/8/2000,82.8418,132.49,196.177,13.35,1424.31,35.0974,39.9457,27.2009,60.9261,42.7429,18.3522,52.6256
6/9/2000,82.8418,135.127,197.847,13.38,1420.66,34.9855,40.0515,27.2994,60.8121,42.6112,18.2767,52.4358
6/10/2000,82.8418,135.127,197.847,13.38,1420.66,34.9855,40.0515,27.2994,60.8121,42.6112,18.2767,52.4358
6/11/2000,82.8418,135.127,197.847,13.38,1420.66,34.9855,40.0515,27.2994,60.8121,42.6112,18.2767,52.4358
6/12/2000,80.8445,130.853,195.292,13.33,1417.02,34.7245,39.8188,26.9792,60.0144,42.2975,18.363,52.3219
6/13/2000,82.4944,133.763,196.471,13.41,1424.31,35.2962,40.1362,27.5826,61.2679,42.9744,18.5032,52.4358
6/14/2000,80.7577,131.762,196.668,13.41,1431.59,35.3211,40.1996,27.5826,61.0685,43.0074,18.6649,52.7016
6/15/2000,82.4944,132.308,197.946,13.46,1420.66,35.5075,40.242,27.952,61.852,43.2468,18.5679,52.3219
6/16/2000,82.8418,134.49,197.159,13.38,1402.4,35.172,40.0304,27.521,61.8235,42.8341,18.2983,51.2967
6/17/2000,82.8418,134.49,197.159,13.38,1402.4,35.172,40.0304,27.521,61.8235,42.8341,18.2983,51.2967
6/18/2000,82.8418,134.49,197.159,13.38,1402.4,35.172,40.0304,27.521,61.8235,42.8341,18.2983,51.2967
6/19/2000,85.7074,139.219,198.339,13.26,1398.75,35.694,40.4535,27.8658,63.0343,43.4532,18.363,51.3727
6/20/2000,86.2284,139.31,197.651,13.14,1391.45,35.4516,40.3689,27.755,63.0058,43.1725,18.2336,50.8031
6/21/2000,87.0967,141.219,197.651,13.26,1387.8,35.5263,40.3266,27.6811,63.4332,43.2633,18.1689,50.6512
6/22/2000,84.318,136.764,194.899,13.1,1369.54,34.8788,39.9457,27.2378,61.9375,42.4874,18.0179,50.4234
6/23/2000,83.0154,135.4,192.892,13.08,1369.54,34.6173,39.8611,27.1794,61.0543,42.1737,18.0287,50.4234
6/24/2000,83.0154,135.4,192.892,13.08,1369.54,34.6173,39.8611,27.1794,61.0543,42.1737,18.0287,50.4234
6/25/2000,83.0154,135.4,192.892,13.08,1369.54,34.6173,39.8611,27.1794,61.0543,42.1737,18.0287,50.4234
6/26/2000,82.9286,137.673,194.449,13.16,1376.84,34.9535,40.0515,27.5001,61.5813,42.5699,18.1042,50.5373
6/27/2000,81.5392,136.127,193.93,13.26,1380.49,34.8414,40.0124,27.4631,61.211,42.4378,18.079,50.6892
6/28/2000,83.2759,138.491,195.384,13.18,1376.84,34.9411,39.9595,27.8947,61.5956,42.5617,18.1007,50.4994
6/29/2000,81.2787,136.945,194.449,13.15,1380.49,34.6422,39.896,27.5741,60.9973,42.1984,18.0572,50.4147
6/30/2000,82.6681,138.128,195.695,13.15,1376.84,34.9411,40.0073,27.9193,62.55,42.5699,17.9703,49.2698
