as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086
4/24/2000,14.4501,10.6014,25.2512,11.9712,21.7622,12.3269,47.9339,43.0316,45.6577,31.2208,21.7412,12.7242,23.485,50.9205,9.50489,10.8126,1059.51,54.4557
4/25/2000,14.8503,11.1323,25.7637,11.641,22.6366,12.7102,46.8994,44.7424,48.0251,32.9634,22.8294,13.1851,24.5461,53.6944,10.0285,11.1421,1096.89,57.9127
4/26/2000,14.8614,11.0157,25.7494,11.4862,22.4674,12.6497,46.8994,44.3705,47.5381,32.3545,22.6073,13.135,24.348,53.133,9.91745,11.0494,1080.64,56.9699
4/27/2000,14.8281,11.214,25.7494,11.4655,22.9751,12.6195,46.8994,45.0276,48.6744,33.0894,23.0663,13.4355,24.2631,54.5529,10.1079,10.9876,1077.39,58.563
4/28/2000,14.8503,11.4707,25.7779,11.4242,23.5393,12.8212,50.3393,45.3623,48.8909,33.4883,23.6881,13.5958,24.4187,54.9162,10.3618,11.2142,1090.39,62.2258
4/29/2000,14.8503,11.4707,25.7779,11.4242,23.5393,12.8212,50.3393,45.3623,48.8909,33.4883,23.6881,13.5958,24.4187,54.9162,10.3618,11.2142,1090.39,62.2258
4/30/2000,14.8503,11.4707,25.7779,11.4242,23.5393,12.8212,50.3393,45.3623,48.8909,33.4883,23.6881,13.5958,24.4187,54.9162,10.3618,11.2142,1090.39,62.2258
5/1/2000,15.1059,11.6925,26.1337,11.5068,24.2444,13.0835,50.3393,46.1681,49.6079,34.2232,24.2655,13.8864,24.8856,55.6096,10.5839,11.4201,1119.64,64.7184
5/2/2000,14.9726,11.3366,25.9914,11.352,23.6662,12.9019,50.3393,45.1763,48.4986,32.9424,23.4734,13.6259,24.3904,54.2888,10.2507,11.2245,1096.89,60.5136
5/3/2000,14.6169,11.0682,25.237,11.094,23.0879,12.6396,50.3393,44.2217,47.2811,32.4385,23.0071,13.4055,23.8387,53.0009,10.0603,11.0494,1074.14,59.6683
5/4/2000,14.7947,11.3307,25.6498,11.1146,23.4687,12.8212,50.3393,44.7672,48.3227,32.1656,23.3624,13.5257,24.5319,54.1897,10.2189,11.276,1093.64,61.1205
5/5/2000,14.9948,11.5583,25.8064,11.1869,23.9624,12.9523,50.3393,45.6226,49.3509,32.5225,23.7177,13.8463,25.0978,55.3785,10.3141,11.3583,1103.39,62.551
5/6/2000,14.9948,11.5583,25.8064,11.1869,23.9624,12.9523,50.3393,45.6226,49.3509,32.5225,23.7177,13.8463,25.0978,55.3785,10.3141,11.3583,1103.39,62.551
5/7/2000,14.9948,11.5583,25.8064,11.1869,23.9624,12.9523,50.3393,45.6226,49.3509,32.5225,23.7177,13.8463,25.0978,55.3785,10.3141,11.3583,1103.39,62.551
5/8/2000,14.9614,11.3074,25.8918,11.2178,23.4123,12.9423,50.3393,44.9036,48.4986,31.7876,23.244,13.5758,24.8715,54.3548,10.0285,11.3172,1092.01,60.0476
5/9/2000,14.9614,11.1674,25.8775,11.2282,22.9751,12.9221,50.3393,44.0606,48.4986,31.2628,22.8146,13.4656,24.6734,53.2981,9.77464,11.3069,1092.01,58.5846
5/10/2000,14.6947,10.7706,25.5928,11.094,22.1853,12.8817,50.3393,42.734,45.8065,30.003,21.9041,13.0849,24.1358,51.3498,9.2986,11.1627,1061.14,54.9976
5/11/2000,15.0504,11.0857,26.1907,11.2798,23.0033,13.1339,50.3393,43.6762,47.2675,30.7169,22.4593,13.4556,24.7017,53.0009,9.61596,11.3995,1092.01,56.4823
5/12/2000,15.1171,11.1674,26.3899,11.383,22.9469,13.2045,50.3393,44.2589,47.714,31.0528,22.6147,13.5257,24.8856,53.4962,9.66357,11.4819,1103.39,56.8182
5/13/2000,15.1171,11.1674,26.3899,11.383,22.9469,13.2045,50.3393,44.2589,47.714,31.0528,22.6147,13.5257,24.8856,53.4962,9.66357,11.4819,1103.39,56.8182
5/14/2000,15.1171,11.1674,26.3899,11.383,22.9469,13.2045,50.3393,44.2589,47.714,31.0528,22.6147,13.5257,24.8856,53.4962,9.66357,11.4819,1103.39,56.8182
